Bereich;Hauptabteilung;Abteilung;Hauptwarengruppe;Warengruppe;Größenstaffeln
;;;;121240 Blusen - Blazer;Konfektion Damen, US-Größen
;;;;121245 D-Westen;Konfektion Damen, US-Größen
;;;1213 Röcke;121310 Röcke kurz;Konfektion Damen, US-Größen
;;;;121320 Röcke lang;Konfektion Damen, US-Größen
;;;1214 Hosen;121410 D-Kombi-Hosen;Konfektion Damen, US-Größen
;;;;121415 D-Freizeithosen;Konfektion Damen, US-Größen
;;;;121420 D-Jeans;Konfektion Damen, US-Größen, Jeansweiten
;;;;121425 D-Bermudas/Shorts;Konfektion Damen, US-Größen, Jeansweiten
;;124 Damen-Accessoires;1240 Hüte/Mützen;124010 D-Hüte;Hutgrößen, ohne
;;;;124015 D-Mützen;Hutgrößen, ohne
;;;;124020 D-Stirnbänder;Hutgrößen, ohne
;;;;124025 D-Kappen/Brillen;Hutgrößen, ohne
;;;;124030 D-Set (Mütze+Schal+...);Hutgrößen, ohne
;;;1241 Schals/Tücher;124110 D-Schals;Hutgrößen, ohne
;;;;124115 D-Tücher;Hutgrößen, ohne
;;;;124117 D-Taschentücher;ohne
;;;;124120 D-Sets (Schal+Handschuh);ohne
;;;1242 Handschuhe;124210 D-Handschuhe;Handschuhe
;;;1243 Gürtel;124310 D-Gürtel;Gürtellängen
;14 Wäsche;140 Herren-Wäsche;1400 Tageswäsche;140010 H-Slips/Schlüpfer;Unterwäsche, US-Größen
;;;;140015 lange H-Unterhosen incl. 3/4;Unterwäsche, US-Größen
;;;;140020 H-Boxer weite Form;Unterwäsche, US-Größen
;;;;140025 H-Pants enge Form;Unterwäsche, US-Größen
;;;;140030 H-Bodies;Unterwäsche, US-Größen
;;;;140035 H-Unterhemden;Unterwäsche, US-Größen
;;;;140040 H-T-Shirt Wäsche;Unterwäsche, US-Größen
;;;1401 Nachtwäsche;140110 H-Schlafanzüge lang;US-Größen, Konfektion Herren
;;;;140115 H-Shorties;US-Größen, Konfektion Herren
;;;;140120 H-Nachthemden/Sleepshirts;US-Größen, Konfektion Herren
;;;;140125 H-Bademäntel;US-Größen, Konfektion Herren
;;;;140130 H-Morgenmäntel/Wellness;US-Größen, Konfektion Herren
;;;;140150 H-Nachtwäsche Oberteil;US-Größen, Konfektion Herren
;;;;140155 H-Nachtwäsche Unterteil;US-Größen, Konfektion Herren
;;;1402 Bademoden;140210 H-Badehosen;Unterwäsche, US-Größen
;;;;140215 H-Badeshorts;Unterwäsche, US-Größen
;;141 Damenwäsche;1410 Tageswäsche;141010 D-Sets;Unterwäsche, US-Größen
;;;;141015 D-Bodies Wäsche;Unterwäsche, US-Größen
;;;;141020 Bustiers;Unterwäsche, US-Größen
;;;;141025 D-Hemden Wäsche;Unterwäsche, US-Größen
;;;;141030 D-Slips;Unterwäsche, US-Größen
;;;;141035 D-Schlüpfer;Unterwäsche, US-Größen
;;;;141045 D-Unterhosen lang;Unterwäsche, US-Größen
;;;1411 Nachtwäsche;141110 D-Nachthemden 1/1 Arm;Unterwäsche, US-Größen
;;;;141115 D-Nachthemden 1/2 Arm;Unterwäsche, US-Größen
;;;;141120 D-Schlafanzüge;Unterwäsche, US-Größen
;;;;141125 D-Shorties;Unterwäsche, US-Größen
;;;;141130 D-Morgenmäntel/Wellness;Unterwäsche, US-Größen
;;;;141135 D-Bademäntel;Unterwäsche, US-Größen
;;;;141150 D-Nachtwäsche Oberteil;Unterwäsche, US-Größen
;;;;141155 D-Nachtwäsche Unterteil;Unterwäsche, US-Größen
;;;1412 Miederwaren / Dessous;141210 BH's;Unterwäsche, US-Größen, BH-Größen
;;;;141212 BH-Hemd/Büstier;Unterwäsche, US-Größen, BH-Größen
;15 Strümpfe;150 Herren-Strümpfe;1500 Socken/Strümpfe;150010 H-Socken kurz;Schuhgrößen, Socken 2er, Socken 3er, Socken 4+
;;;;150015 H-Socken lang;Schuhgrößen, Socken 2er, Socken 3er, Socken 4+
;;;;150020 H-Noppensocken/Walkies;Schuhgrößen, Socken 2er, Socken 3er, Socken 4+
;;;;150025 H-Kniestrümpfe ohne Stütz;Schuhgrößen, Socken 2er, Socken 3er, Socken 4+
;;;;150026 H-Kniestrümpfe Stütz;Schuhgrößen, Socken 2er, Socken 3er, Socken 4+
;;;;150030 H-Strumpfhosen;Schuhgrößen, Socken 2er, Socken 3er, Socken 4+, US-Größen
;;;;150035 Füßlinge/Sneaker;Schuhgrößen, Socken 2er, Socken 3er, Socken 4+
;;151 Damen-Strümpfe;1510 Strumpfhosen;151010 Feinstrumpfhosen;Strumpfhosen Damen, US-Größen
;;;;151015 Stützstrumpfhosen;Stützstrümpfe Damen, US-Größen
;;;;151020 Wollstrumpfhosen;Strumpfhosen Damen, US-Größen
;;;1511 Strümpfe/Socken;151110 D-Strümpfe;Schuhgrößen, Socken 2er, Socken 3er, Socken 4+, US-Größen
;;;;151115 D-Kniestrümpfe fein ohne Stütz;Schuhgrößen, Socken 2er, Socken 3er, Socken 4+, US-Größen
;;;;151116 D-Kniestrümpfe fein Stütz;Schuhgrößen, Socken 2er, Socken 3er, Socken 4+, US-Größen
;;;;151117 D-Oberschenkelstrümpfe Stütz;Schuhgrößen, Socken 2er, Socken 3er, Socken 4+, US-Größen
;;;;151120 D-Kniestrümpfe Strick;Schuhgrößen, Socken 2er, Socken 3er, Socken 4+, US-Größen
;;;;151125 D-Socken fein;Schuhgrößen, Socken 2er, Socken 3er, Socken 4+, US-Größen
;;;;151130 D-Socken Strick/Sneakersocken;Schuhgrößen, Socken 2er, Socken 3er, Socken 4+, US-Größen
;;;;151135 D-Noppensocken/Walkies;Schuhgrößen, Socken 2er, Socken 3er, Socken 4+, US-Größen
;;;;151140 D-Füßlinge;Schuhgrößen, Socken 2er, Socken 3er, Socken 4+, US-Größen
;;;;151145 Overknees;Schuhgrößen, Socken 2er, Socken 3er, Socken 4+, US-Größen
;;;;151150 Stulpen;ohne
;18 Dienstleistungen;180 Schneiderei;1800 Herren-Änderungen;180000 Herren-Änderungen;ohne
;;;1801 Damen-Änderungen;180100 Damen-Änderungen;ohne
;;181 Sonstige  Dienstleistungen;1810 Sonstige  Dienstleistungen;181000 Sonstige Dienstleistungen;ohne
;;182 Gutscheine;1820 Gutscheine;182000 Gutscheine;ohne
7 Lederwaren;70 Schuhe;701 Herren-Schuhe;7013 Schnürhalbschuhe;701332 glatter Boden;Schuhgrößen, US Schuhgrößen
;;;7014 Slipper;701442 glatter Boden;Schuhgrößen, US Schuhgrößen
;;;7018 Sandalen;701881 glatter Boden;Schuhgrößen, US Schuhgrößen
;;702 Damen-Schuhe;7023 Schnürhalbschuhe;702332 bis 25 mm glatter Boden- Absatz/Keil;Schuhgrößen, US Schuhgrößen
;;705 Hausschuhe;7051 Herren-Hausschuh;705111 Haus-Pantolette Kaltfutter;Schuhgrößen, US Schuhgrößen
;;;7052 Damen-Hausschuh;705221 Haus-Pantolette Kaltfutter;Schuhgrößen, US Schuhgrößen
;;706 Zubehör;7060 Pflege;706010 Schuhpflege/Bürsten usw.;ohne
;;;;706015 Lederpflege/Cremes, Sprays usw.;ohne
;;;7061 Ersatzartikel, Sohlen;706120 Ersatzartikel;ohne
;;;;706140 Schuhspanner;Schuhgrößen, US Schuhgrößen
9 Sonstiges;99 Sonstiges;999 Sonstiges;9999 Sonstiges;999990 Ersatzbuchung;ohne
;;;;999999 Sonstiges;ohne
